Classifier,Dataset,Sampling,Auc,Kappa,Tue_Negative,True_Positive,False_Negative,False_positive,Precision,Recall,Perc_Train_Total,Num_Training_Release,Snoring_Class
RandomForest,AVRO,None,,1.0,210.0,0.0,0.0,0.0,1.0,1.0,2.7777777777777777,1,3
RandomForest,AVRO,Under Sampling,,1.0,210.0,0.0,0.0,0.0,1.0,1.0,2.7777777777777777,1,3
RandomForest,AVRO,Over Sampling,,1.0,210.0,0.0,0.0,0.0,1.0,1.0,2.7777777777777777,1,3
RandomForest,AVRO,None,,1.0,263.0,0.0,0.0,0.0,1.0,1.0,5.555555555555555,2,3
RandomForest,AVRO,Under Sampling,,1.0,263.0,0.0,0.0,0.0,1.0,1.0,5.555555555555555,2,3
RandomForest,AVRO,Over Sampling,,1.0,263.0,0.0,0.0,0.0,1.0,1.0,5.555555555555555,2,3
RandomForest,AVRO,None,,1.0,316.0,0.0,0.0,0.0,1.0,1.0,8.333333333333332,3,3
RandomForest,AVRO,Under Sampling,,1.0,316.0,0.0,0.0,0.0,1.0,1.0,8.333333333333332,3,3
RandomForest,AVRO,Over Sampling,,1.0,316.0,0.0,0.0,0.0,1.0,1.0,8.333333333333332,3,3
RandomForest,AVRO,None,,1.0,316.0,0.0,0.0,0.0,1.0,1.0,11.11111111111111,4,3
RandomForest,AVRO,Under Sampling,,1.0,316.0,0.0,0.0,0.0,1.0,1.0,11.11111111111111,4,3
RandomForest,AVRO,Over Sampling,,1.0,316.0,0.0,0.0,0.0,1.0,1.0,11.11111111111111,4,3
RandomForest,AVRO,None,,1.0,322.0,0.0,0.0,0.0,1.0,1.0,13.88888888888889,5,3
RandomForest,AVRO,Under Sampling,,1.0,322.0,0.0,0.0,0.0,1.0,1.0,13.88888888888889,5,3
RandomForest,AVRO,Over Sampling,,1.0,322.0,0.0,0.0,0.0,1.0,1.0,13.88888888888889,5,3
RandomForest,AVRO,None,,1.0,328.0,0.0,0.0,0.0,1.0,1.0,16.666666666666664,6,3
RandomForest,AVRO,Under Sampling,,1.0,328.0,0.0,0.0,0.0,1.0,1.0,16.666666666666664,6,3
RandomForest,AVRO,Over Sampling,,1.0,328.0,0.0,0.0,0.0,1.0,1.0,16.666666666666664,6,3
RandomForest,AVRO,None,0.5,0.0,341.0,0.0,0.0,0.0,0.9354838709677419,1.0,19.444444444444446,7,3
RandomForest,AVRO,Under Sampling,0.5,0.0,341.0,0.0,0.0,0.0,0.9354838709677419,1.0,19.444444444444446,7,3
RandomForest,AVRO,Over Sampling,0.5,0.0,341.0,0.0,0.0,0.0,0.9354838709677419,1.0,19.444444444444446,7,3
RandomForest,AVRO,None,0.5,0.0,354.0,0.0,0.0,0.0,0.9152542372881356,1.0,22.22222222222222,8,3
RandomForest,AVRO,Under Sampling,0.5,0.0,354.0,0.0,0.0,0.0,0.9152542372881356,1.0,22.22222222222222,8,3
RandomForest,AVRO,Over Sampling,0.5,0.0,354.0,0.0,0.0,0.0,0.9152542372881356,1.0,22.22222222222222,8,3
RandomForest,AVRO,None,0.9679627601314348,0.6391243695675501,354.0,0.0,0.0,0.0,0.9905956112852664,0.9518072289156626,25.0,9,1
RandomForest,AVRO,Under Sampling,0.9625547645125958,0.6875064908090149,354.0,0.0,0.0,0.0,0.9968454258675079,0.9518072289156626,25.0,9,1
RandomForest,AVRO,Over Sampling,0.9443455640744798,0.5638006571741513,354.0,0.0,0.0,0.0,0.9728915662650602,0.9728915662650602,25.0,9,1
RandomForest,AVRO,SMOTE,0.9630339539978094,0.6743663123466885,354.0,0.0,0.0,0.0,0.9968354430379747,0.9487951807228916,25.0,9,1
NaiveBayes,AVRO,None,0.5041073384446878,0.08848314606741585,354.0,0.0,0.0,0.0,0.9444444444444444,0.9216867469879518,25.0,9,1
NaiveBayes,AVRO,Under Sampling,0.5041073384446878,0.08848314606741585,354.0,0.0,0.0,0.0,0.9444444444444444,0.9216867469879518,25.0,9,1
NaiveBayes,AVRO,Over Sampling,0.49575575027382257,0.08848314606741585,354.0,0.0,0.0,0.0,0.9444444444444444,0.9216867469879518,25.0,9,1
NaiveBayes,AVRO,SMOTE,0.5034227820372399,0.0804156313530608,354.0,0.0,0.0,0.0,0.9440993788819876,0.9156626506024096,25.0,9,1
IBk,AVRO,None,0.9759036144578314,0.7105478331970562,354.0,0.0,0.0,0.0,1.0,0.9518072289156626,25.0,9,1
IBk,AVRO,Under Sampling,0.9759036144578314,0.7105478331970562,354.0,0.0,0.0,0.0,1.0,0.9518072289156626,25.0,9,1
IBk,AVRO,Over Sampling,0.8465224534501643,0.5856741573033705,354.0,0.0,0.0,0.0,0.9814814814814815,0.9578313253012049,25.0,9,1
IBk,AVRO,SMOTE,0.9759036144578314,0.7105478331970562,354.0,0.0,0.0,0.0,1.0,0.9518072289156626,25.0,9,1
RandomForest,AVRO,None,0.9971248630887185,0.8338919426196543,354.0,0.0,0.0,0.0,0.9909365558912386,0.9879518072289156,27.77777777777778,10,0
RandomForest,AVRO,Under Sampling,0.9973986856516976,0.8813513875854669,354.0,0.0,0.0,0.0,0.9939577039274925,0.9909638554216867,27.77777777777778,10,0
RandomForest,AVRO,Over Sampling,0.963855421686747,0.6745468873128452,354.0,0.0,0.0,0.0,0.9818181818181818,0.9759036144578314,27.77777777777778,10,0
RandomForest,AVRO,SMOTE,0.9947973713033954,0.7514044943820223,354.0,0.0,0.0,0.0,0.9938271604938271,0.9698795180722891,27.77777777777778,10,0
NaiveBayes,AVRO,None,0.5060240963855421,0.08848314606741585,354.0,0.0,0.0,0.0,0.9444444444444444,0.9216867469879518,27.77777777777778,10,0
NaiveBayes,AVRO,Under Sampling,0.5060240963855421,0.08848314606741585,354.0,0.0,0.0,0.0,0.9444444444444444,0.9216867469879518,27.77777777777778,10,0
NaiveBayes,AVRO,Over Sampling,0.5134173055859803,0.0804156313530608,354.0,0.0,0.0,0.0,0.9440993788819876,0.9156626506024096,27.77777777777778,10,0
NaiveBayes,AVRO,SMOTE,0.5065717415115005,0.07659007659007587,354.0,0.0,0.0,0.0,0.9439252336448598,0.9126506024096386,27.77777777777778,10,0
IBk,AVRO,None,0.9755613362541073,0.9493851873034034,354.0,0.0,0.0,0.0,0.9940119760479041,1.0,27.77777777777778,10,0
IBk,AVRO,Under Sampling,0.9755613362541073,0.9493851873034034,354.0,0.0,0.0,0.0,0.9940119760479041,1.0,27.77777777777778,10,0
IBk,AVRO,Over Sampling,0.9529025191675794,0.7257122422219568,354.0,0.0,0.0,0.0,0.9907692307692307,0.9698795180722891,27.77777777777778,10,0
IBk,AVRO,SMOTE,0.9752875136911281,0.9030668127053668,354.0,0.0,0.0,0.0,0.9939759036144579,0.9939759036144579,27.77777777777778,10,0
RandomForest,AVRO,None,1.0,0.9493851873034034,354.0,0.0,0.0,0.0,0.9940119760479041,1.0,30.555555555555557,11,0
RandomForest,AVRO,Under Sampling,1.0,0.9493851873034034,354.0,0.0,0.0,0.0,0.9940119760479041,1.0,30.555555555555557,11,0
RandomForest,AVRO,Over Sampling,0.9978094194961665,0.9030668127053668,354.0,0.0,0.0,0.0,0.9939759036144579,0.9939759036144579,30.555555555555557,11,0
RandomForest,AVRO,SMOTE,1.0,1.0,354.0,0.0,0.0,0.0,1.0,1.0,30.555555555555557,11,0
NaiveBayes,AVRO,None,0.5219058050383352,0.08848314606741585,354.0,0.0,0.0,0.0,0.9444444444444444,0.9216867469879518,30.555555555555557,11,0
NaiveBayes,AVRO,Under Sampling,0.5219058050383352,0.08848314606741585,354.0,0.0,0.0,0.0,0.9444444444444444,0.9216867469879518,30.555555555555557,11,0
NaiveBayes,AVRO,Over Sampling,0.6829134720700986,0.04181444838529006,354.0,0.0,0.0,0.0,0.9419354838709677,0.8795180722891566,30.555555555555557,11,0
NaiveBayes,AVRO,SMOTE,0.5350492880613362,0.07289393278044523,354.0,0.0,0.0,0.0,0.94375,0.9096385542168675,30.555555555555557,11,0
IBk,AVRO,None,0.8907447973713034,0.8333856291182934,354.0,0.0,0.0,0.0,0.9822485207100592,1.0,30.555555555555557,11,0
IBk,AVRO,Under Sampling,0.8907447973713034,0.8333856291182934,354.0,0.0,0.0,0.0,0.9822485207100592,1.0,30.555555555555557,11,0
IBk,AVRO,Over Sampling,0.9257940854326396,0.8481555619102092,354.0,0.0,0.0,0.0,0.9880239520958084,0.9939759036144579,30.555555555555557,11,0
IBk,AVRO,SMOTE,0.8907447973713034,0.8333856291182934,354.0,0.0,0.0,0.0,0.9822485207100592,1.0,30.555555555555557,11,0
RandomForest,AVRO,None,0.9982201533406353,0.8481555619102092,354.0,0.0,0.0,0.0,0.9880239520958084,0.9939759036144579,33.33333333333333,12,0
RandomForest,AVRO,Under Sampling,0.9982201533406353,0.8481555619102092,354.0,0.0,0.0,0.0,0.9880239520958084,0.9939759036144579,33.33333333333333,12,0
RandomForest,AVRO,Over Sampling,0.9952765607886089,0.7975407492136116,354.0,0.0,0.0,0.0,0.9850299401197605,0.9909638554216867,33.33333333333333,12,0
RandomForest,AVRO,SMOTE,0.9983570646221248,0.8762064624422993,354.0,0.0,0.0,0.0,0.990990990990991,0.9939759036144579,33.33333333333333,12,0
NaiveBayes,AVRO,None,0.5617469879518072,0.0843775146568572,354.0,0.0,0.0,0.0,0.9442724458204335,0.9186746987951807,33.33333333333333,12,0
NaiveBayes,AVRO,Under Sampling,0.5617469879518072,0.0843775146568572,354.0,0.0,0.0,0.0,0.9442724458204335,0.9186746987951807,33.33333333333333,12,0
NaiveBayes,AVRO,Over Sampling,0.5784501642935378,0.0804156313530608,354.0,0.0,0.0,0.0,0.9440993788819876,0.9156626506024096,33.33333333333333,12,0
NaiveBayes,AVRO,SMOTE,0.5662650602409639,0.07289393278044523,354.0,0.0,0.0,0.0,0.94375,0.9096385542168675,33.33333333333333,12,0
IBk,AVRO,None,0.9088170865279299,0.8338919426196543,354.0,0.0,0.0,0.0,0.9909365558912386,0.9879518072289156,33.33333333333333,12,0
IBk,AVRO,Under Sampling,0.9088170865279299,0.8338919426196543,354.0,0.0,0.0,0.0,0.9909365558912386,0.9879518072289156,33.33333333333333,12,0
IBk,AVRO,Over Sampling,0.901355421686747,0.7771716323961388,354.0,0.0,0.0,0.0,0.984984984984985,0.9879518072289156,33.33333333333333,12,0
IBk,AVRO,SMOTE,0.9099808324205915,0.8338919426196543,354.0,0.0,0.0,0.0,0.9909365558912386,0.9879518072289156,33.33333333333333,12,0
RandomForest,AVRO,None,0.9880887185104053,0.5730824891461651,354.0,0.0,0.0,0.0,0.967551622418879,0.9879518072289156,36.11111111111111,13,0
RandomForest,AVRO,Under Sampling,0.9913061336254108,0.5730824891461651,354.0,0.0,0.0,0.0,0.967551622418879,0.9879518072289156,36.11111111111111,13,0
RandomForest,AVRO,Over Sampling,0.984802847754655,0.5078206465067774,354.0,0.0,0.0,0.0,0.9619883040935673,0.9909638554216867,36.11111111111111,13,0
RandomForest,AVRO,SMOTE,0.9922645125958379,0.746925936517015,354.0,0.0,0.0,0.0,0.9820359281437125,0.9879518072289156,36.11111111111111,13,0
NaiveBayes,AVRO,None,0.6425246440306681,0.06932074256894515,354.0,0.0,0.0,0.0,0.9435736677115988,0.9066265060240963,36.11111111111111,13,0
NaiveBayes,AVRO,Under Sampling,0.6425246440306681,0.06932074256894515,354.0,0.0,0.0,0.0,0.9435736677115988,0.9066265060240963,36.11111111111111,13,0
NaiveBayes,AVRO,Over Sampling,0.6874315443592552,0.07289393278044523,354.0,0.0,0.0,0.0,0.94375,0.9096385542168675,36.11111111111111,13,0
NaiveBayes,AVRO,SMOTE,0.6362267250821467,0.06251947242704393,354.0,0.0,0.0,0.0,0.943217665615142,0.9006024096385542,36.11111111111111,13,0
IBk,AVRO,None,0.8218784227820373,0.5295845572807384,354.0,0.0,0.0,0.0,0.96996996996997,0.9728915662650602,36.11111111111111,13,0
IBk,AVRO,Under Sampling,0.8218784227820373,0.5295845572807384,354.0,0.0,0.0,0.0,0.96996996996997,0.9728915662650602,36.11111111111111,13,0
IBk,AVRO,Over Sampling,0.7073521358159912,0.4800671422576587,354.0,0.0,0.0,0.0,0.9669669669669669,0.9698795180722891,36.11111111111111,13,0
IBk,AVRO,SMOTE,0.8448795180722891,0.5491352728247755,354.0,0.0,0.0,0.0,0.972809667673716,0.9698795180722891,36.11111111111111,13,0
RandomForest,AVRO,None,0.9887708445400754,0.8335388409371142,360.0,0.0,0.0,0.0,0.9825581395348837,1.0,38.88888888888889,14,0
RandomForest,AVRO,Under Sampling,0.9849381387842926,0.8009478672985778,360.0,0.0,0.0,0.0,0.9797101449275363,1.0,38.88888888888889,14,0
RandomForest,AVRO,Over Sampling,0.9655728886498117,0.8009478672985778,360.0,0.0,0.0,0.0,0.9797101449275363,1.0,38.88888888888889,14,0
RandomForest,AVRO,SMOTE,0.9885691231845078,0.8335388409371142,360.0,0.0,0.0,0.0,0.9825581395348837,1.0,38.88888888888889,14,0
NaiveBayes,AVRO,None,0.6971490048413125,0.060618225612203924,360.0,0.0,0.0,0.0,0.9440993788819876,0.8994082840236687,38.88888888888889,14,0
NaiveBayes,AVRO,Under Sampling,0.6971490048413125,0.060618225612203924,360.0,0.0,0.0,0.0,0.9440993788819876,0.8994082840236687,38.88888888888889,14,0
NaiveBayes,AVRO,Over Sampling,0.6949973103819258,0.060618225612203924,360.0,0.0,0.0,0.0,0.9440993788819876,0.8994082840236687,38.88888888888889,14,0
NaiveBayes,AVRO,SMOTE,0.6962076385153309,0.054474708171206185,360.0,0.0,0.0,0.0,0.94375,0.893491124260355,38.88888888888889,14,0
IBk,AVRO,None,0.7553792361484669,0.539572675293409,360.0,0.0,0.0,0.0,0.967930029154519,0.9822485207100592,38.88888888888889,14,0
IBk,AVRO,Under Sampling,0.7553792361484669,0.539572675293409,360.0,0.0,0.0,0.0,0.967930029154519,0.9822485207100592,38.88888888888889,14,0
IBk,AVRO,Over Sampling,0.8265868746637978,0.5734597156398109,360.0,0.0,0.0,0.0,0.9681159420289855,0.9881656804733728,38.88888888888889,14,0
IBk,AVRO,SMOTE,0.7962614308768154,0.5767195767195771,360.0,0.0,0.0,0.0,0.9707602339181286,0.9822485207100592,38.88888888888889,14,0
RandomForest,AVRO,None,0.9928646934460887,0.8336867615873976,366.0,0.0,0.0,0.0,0.9828571428571429,1.0,41.66666666666667,15,0
RandomForest,AVRO,Under Sampling,0.9947145877378436,0.8336867615873976,366.0,0.0,0.0,0.0,0.9828571428571429,1.0,41.66666666666667,15,0
RandomForest,AVRO,Over Sampling,0.9878435517970402,0.7668789808917195,366.0,0.0,0.0,0.0,0.9772727272727273,1.0,41.66666666666667,15,0
RandomForest,AVRO,SMOTE,0.9952431289640592,0.8336867615873976,366.0,0.0,0.0,0.0,0.9828571428571429,1.0,41.66666666666667,15,0
NaiveBayes,AVRO,None,0.7040169133192389,0.061908517350157094,366.0,0.0,0.0,0.0,0.9451219512195121,0.9011627906976745,41.66666666666667,15,0
NaiveBayes,AVRO,Under Sampling,0.7040169133192389,0.061908517350157094,366.0,0.0,0.0,0.0,0.9451219512195121,0.9011627906976745,41.66666666666667,15,0
NaiveBayes,AVRO,Over Sampling,0.7209302325581395,0.06841783750763587,366.0,0.0,0.0,0.0,0.9454545454545454,0.9069767441860465,41.66666666666667,15,0
NaiveBayes,AVRO,SMOTE,0.7066596194503171,0.0557997324670356,366.0,0.0,0.0,0.0,0.9447852760736196,0.8953488372093024,41.66666666666667,15,0
IBk,AVRO,None,0.8358879492600423,0.8336867615873976,366.0,0.0,0.0,0.0,0.9828571428571429,1.0,41.66666666666667,15,0
IBk,AVRO,Under Sampling,0.8358879492600423,0.8336867615873976,366.0,0.0,0.0,0.0,0.9828571428571429,1.0,41.66666666666667,15,0
IBk,AVRO,Over Sampling,0.8321881606765328,0.7885615251299826,366.0,0.0,0.0,0.0,0.9827586206896551,0.9941860465116279,41.66666666666667,15,0
IBk,AVRO,SMOTE,0.9574524312896406,0.9032769556025368,366.0,0.0,0.0,0.0,0.9941860465116279,0.9941860465116279,41.66666666666667,15,0
RandomForest,AVRO,None,1.0,1.0,366.0,0.0,0.0,0.0,1.0,1.0,44.44444444444444,16,0
RandomForest,AVRO,Under Sampling,1.0,1.0,366.0,0.0,0.0,0.0,1.0,1.0,44.44444444444444,16,0
